aluguel,condominio,area,bairro,quartos,banheiros,garagem,anunciante
4700.0,750.0,82.0,Chácara Santo Antônio,2.0,2.0,2.0,quintoandar
3720.0,970.0,50.0,Vila Olímpia,1.0,1.0,0.0,quintoandar
3300.0,443.0,85.0,Vila das Mercês,2.0,2.0,1.0,quintoandar
1250.0,752.0,35.0,Vila Mascote,1.0,1.0,1.0,quintoandar
2835.0,740.0,72.0,Saúde,3.0,2.0,1.0,quintoandar
1900.0,300.0,45.0,Bela Vista,1.0,1.0,0.0,strutura-imoveis
2000.0,350.0,35.0,Vila Mariana,1.0,1.0,1.0,quintoandar
1800.0,535.0,67.0,Jardim São Savério,3.0,2.0,1.0,quintoandar
2500.0,1229.0,100.0,Casa Verde,3.0,3.0,1.0,quintoandar
2100.0,600.0,40.0,Bela Vista,1.0,1.0,1.0,urbano-imoveis
3100.0,552.0,57.0,Bela Vista,2.0,2.0,1.0,igor-almeida-real-estate-agency
5000.0,1200.0,70.0,Moema,1.0,2.0,2.0,imoveis-pro
3264.0,950.0,70.0,Barra Funda,2.0,2.0,2.0,quintoandar
1700.0,470.0,40.0,Aclimação,2.0,1.0,0.0,quintoandar
5000.0,808.0,118.0,Mooca,3.0,3.0,2.0,quintoandar
1650.0,585.0,55.0,Vila Guarani(Zona Sul),2.0,1.0,1.0,kms-associados
1417.0,500.0,53.0,Campo Grande,2.0,1.0,1.0,quintoandar
3200.0,595.0,62.0,Vila Andrade,3.0,2.0,2.0,quintoandar
1700.0,450.0,84.0,Vila Madalena,2.0,2.0,0.0,eden-imoveis
2748.0,611.0,50.0,Pinheiros,1.0,1.0,1.0,quintoandar
1700.0,400.0,25.0,Bela Vista,1.0,1.0,1.0,quintoandar
5300.0,1900.0,200.0,Campo Belo,3.0,5.0,3.0,imoveis-varandas
2000.0,1600.0,85.0,Perdizes,3.0,2.0,1.0,quintoandar
1699.0,951.0,71.0,Vila Romana,3.0,1.0,1.0,quintoandar
2300.0,380.0,43.0,Jardim Aeroporto,1.0,2.0,1.0,azera-assessoria-imobiliaria-ltda
1500.0,489.0,61.0,Vila Matilde,3.0,1.0,1.0,quintoandar
2150.0,1300.0,100.0,Vila Romana,3.0,3.0,2.0,quintoandar
5665.0,1000.0,100.0,Jardim Paulista,2.0,2.0,1.0,quintoandar
1500.0,250.0,33.0,Água Branca,1.0,1.0,0.0,quintoandar
2000.0,1500.0,60.0,Brooklin,1.0,1.0,1.0,so-flats
4200.0,1814.0,127.0,Morumbi,3.0,2.0,2.0,quintoandar
2700.0,1019.0,90.0,Santo Amaro,2.0,1.0,1.0,quintoandar
1430.0,393.3,15.0,Perdizes,1.0,1.0,0.0,quintoandar
4350.0,900.0,80.0,Vila Nova Conceição,2.0,2.0,1.0,quintoandar
7500.0,2120.0,138.0,Pinheiros,3.0,1.0,1.0,century21-house-prime
1420.0,130.0,485.0,Saúde,1.0,1.0,0.0,
2560.0,1210.0,133.0,Jardim Íris,4.0,3.0,3.0,quintoandar
3000.0,1300.0,32.0,Itaim Bibi,1.0,1.0,1.0,quintoandar
1250.0,365.0,43.0,Brás,1.0,1.0,0.0,medeiros-negocios-imobiliarios-ltda-me
9000.0,900.0,360.0,Vila Mascote,3.0,5.0,3.0,scheid-imoveis
3000.0,646.0,68.0,Vila Romana,3.0,1.0,1.0,quintoandar
2790.0,900.0,78.0,Santana,3.0,2.0,1.0,quintoandar
2550.0,634.0,100.0,Santo Amaro,2.0,2.0,1.0,quintoandar
1500.0,380.0,51.0,Freguesia do Ó,2.0,1.0,1.0,
